created_at,entry_id,field1,field2,field3,field4,field5,field6,latitude,longitude,elevation,status
2024-05-21T09:08:46+00:00,228,28,80,5,-1,10,0,,,,
2024-05-21T09:09:20+00:00,229,28,80,0,-1,10,9.21574,,,,
2024-05-21T09:09:40+00:00,230,28,80,0,2,10,41.30524,,,,
2024-05-21T09:10:04+00:00,231,28,80,0,0,10,19.27674,,,,
2024-05-21T09:11:03+00:00,232,28,80,0,0,10,28.68571,,,,
2024-05-21T09:11:36+00:00,233,28,80,0,0,10,40.68097,,,,
2024-05-21T09:11:51+00:00,234,28,80,0,0,10,19.41672,,,,
2024-05-21T09:12:14+00:00,235,28,80,0,0,10,16.69115,,,,
2024-05-21T09:12:35+00:00,236,28,80,0,0,10,38.50929,,,,
2024-05-21T09:12:56+00:00,237,28,80,0,-1,10,20.15641,,,,
2024-05-21T09:13:15+00:00,238,29,80,15,0,10,13.09243,,,,
2024-05-21T09:13:35+00:00,239,29,80,0,-1,10,22.66957,,,,
2024-05-21T09:13:54+00:00,240,29,80,5,0,10,35.32021,,,,
2024-05-21T09:14:14+00:00,241,29,80,0,-1,10,33.92315,,,,
2024-05-21T09:14:33+00:00,242,29,80,0,0,10,43.92994,,,,
2024-05-21T09:14:55+00:00,243,29,80,0,0,10,20.68766,,,,
2024-05-21T09:15:19+00:00,244,29,80,0,0,10,20.21018,,,,
2024-05-21T09:15:39+00:00,245,29,80,13,0,10,20.09646,,,,
2024-05-21T09:15:58+00:00,246,29,80,0,-1,10,24.13128,,,,
2024-05-21T09:16:19+00:00,247,29,80,0,0,10,31.72991,,,,
2024-05-21T09:16:43+00:00,248,28,80,0,-1,10,41.66667,,,,
2024-05-21T09:17:05+00:00,249,28,80,0,-1,10,30.88326,,,,
2024-05-21T09:17:32+00:00,250,28,81,0,-2,10,0,,,,
2024-05-21T09:17:54+00:00,251,28,81,0,0,10,17.11274,,,,
2024-05-21T09:18:15+00:00,252,28,81,0,0,10,42.7006,,,,
2024-05-21T09:18:38+00:00,253,28,81,0,0,10,18.98398,,,,
2024-05-21T09:18:58+00:00,254,29,81,0,0,10,22.09066,,,,
2024-05-21T09:19:17+00:00,255,29,81,0,0,10,35.16867,,,,
2024-05-21T09:19:37+00:00,256,29,81,0,0,10,32.46542,,,,
2024-05-21T09:19:56+00:00,257,29,81,0,0,9,35.05033,,,,
2024-05-21T09:20:16+00:00,258,29,81,0,0,10,36.49528,,,,
2024-05-21T09:20:35+00:00,259,29,81,0,0,10,35.85155,,,,
2024-05-21T09:20:55+00:00,260,29,81,0,0,10,22.67574,,,,
2024-05-21T09:21:15+00:00,261,29,81,0,0,9,21.1703,,,,
2024-05-21T09:21:37+00:00,262,29,81,0,-1,10,23.35554,,,,
2024-05-21T09:21:57+00:00,263,29,81,0,-1,9,31.56565,,,,
2024-05-21T09:22:16+00:00,264,29,81,0,-1,9,0,,,,
2024-05-21T09:22:35+00:00,265,29,81,0,0,9,33.15465,,,,
2024-05-21T09:22:55+00:00,266,29,81,0,0,9,0,,,,
2024-05-21T09:23:14+00:00,267,29,81,2,-1,10,35.78535,,,,
2024-05-21T09:23:34+00:00,268,29,81,0,0,10,8.87784,,,,
2024-05-21T09:23:53+00:00,269,29,81,0,0,10,34.31662,,,,
2024-05-27T03:16:02+00:00,270,28,80,196,0,-10,1.23425,,,,
2024-05-27T03:16:55+00:00,271,27,81,113,1,-9,0,,,,
2024-05-27T03:17:18+00:00,272,27,81,4095,0,0,21.52704,,,,
2024-05-27T03:17:49+00:00,273,28,80,40,1,-9,0,,,,
2024-05-27T03:18:05+00:00,274,28,80,32,1,-10,3.61272,,,,
2024-05-27T03:20:47+00:00,275,27,82,6,0,0,32.48863,,,,
2024-05-27T03:22:25+00:00,276,28,83,0,0,-7,0,,,,
2024-05-27T03:22:47+00:00,277,27,82,16,0,-7,0,,,,
2024-05-27T03:23:07+00:00,278,27,82,28,0,-7,0,,,,
2024-05-27T03:23:28+00:00,279,27,82,0,0,-7,0,,,,
2024-05-27T03:23:48+00:00,280,27,82,2,0,-7,0,,,,
2024-05-27T03:24:09+00:00,281,27,82,0,0,-7,0,,,,
2024-05-27T03:24:29+00:00,282,27,82,0,0,-7,0,,,,
2024-05-27T03:24:50+00:00,283,27,82,0,0,-6,0,,,,
2024-05-27T03:25:11+00:00,284,27,82,0,0,-6,0,,,,
2024-05-27T03:25:31+00:00,285,27,82,0,0,-6,0,,,,
2024-05-27T03:26:12+00:00,286,27,82,16,0,-4,25.08152,,,,
2024-05-27T03:26:36+00:00,287,27,82,2,0,-1,0,,,,
2024-05-27T03:26:51+00:00,288,27,82,17,0,0,0,,,,
2024-05-27T03:27:13+00:00,289,27,82,35,1,-2,3.39259,,,,
2024-05-27T03:27:33+00:00,290,27,82,102,5,-8,10.73077,,,,
2024-05-27T03:27:54+00:00,291,27,82,83,5,-8,0,,,,
2024-05-27T03:28:15+00:00,292,28,81,65,5,-8,0,,,,
